ts,iso_ts,type,class_name,direction,track_id,payload_json
1778326016.435,2026-05-09T11:26:56Z,STOPPED_VEHICLE,car,,11,
1778326016.435,2026-05-09T11:26:56Z,STOPPED_VEHICLE,car,,10,
1778326016.435,2026-05-09T11:26:56Z,STOPPED_VEHICLE,car,,3,
1778326022.448,2026-05-09T11:27:02Z,LINE_CROSS,car,in,349,"{""line"": ""ginza_main_road""}"
1778327135.953,2026-05-09T11:45:35Z,STOPPED_VEHICLE,car,,17,
1778327135.953,2026-05-09T11:45:35Z,STOPPED_VEHICLE,car,,2,
1778327135.953,2026-05-09T11:45:35Z,STOPPED_VEHICLE,car,,3,
1778663917.500,2026-05-13T09:18:37Z,LINE_CROSS,car,in,190,"{""line"": ""ginza_main_road""}"
1778663977.390,2026-05-13T09:19:37Z,STOPPED_VEHICLE,car,,637,
1778663989.999,2026-05-13T09:19:49Z,STOPPED_VEHICLE,car,,593,
1778664003.889,2026-05-13T09:20:03Z,STOPPED_VEHICLE,car,,750,
1778664020.595,2026-05-13T09:20:20Z,STOPPED_VEHICLE,car,,11,
1778664058.585,2026-05-13T09:20:58Z,LINE_CROSS,car,out,1089,"{""line"": ""ginza_main_road""}"
